id,name,lat,lon,typ,status,qualitaet,preis,quelle_import,dupe_flag,geaendert_am,gmaps_url,place_id,kueche,tags,quelle,geprueft_am
r0001,#HASHTAG Coffee Shop,52.5095695,13.3992457,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJ-39HlNdRqEcRxaZdllY7fUg,,"fruehstueck, kaffee, lunch, brunch",,2026-07-29
r0002,12 Apostel,52.505226,13.32016,Pizza,besucht,mittel,normal,fav,,2026-07-29,,ChIJsfmmOONQqEcRh1Ovy1RM2-0,,"lunch, dinner",,2026-07-29
r0003,"19grams Alex - Café, Kaffeerösterei & Event Location",52.5227376,13.4074325,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJ_xJY4R9OqEcRBGbhAaDjCuU,,"fruehstueck, brunch, kaffee",,2026-07-29
r0004,26 Shibuya,52.5376609,13.4077675,Sushi,besucht,mittel,normal,fav,,2026-07-29,,ChIJPf_nm6hRqEcRcerx8gD1Hr0,,"lunch, dinner",,2026-07-29
r0006,3 Schwestern,52.5037853,13.4244039,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJIxybZzZOqEcR7ktMKEAoufs,,"lunch, dinner",,2026-07-29
r0007,60 Hz,52.5009564,13.4282298,Club/Livemusik,besucht,gut,normal,fav,,2026-07-29,,ChIJsxTEdEpOqEcRAgSl7IpR8Rs,,"drinks, music",,2026-07-29
r0008,893 Ryōtei Japanese Restaurant,52.5058893,13.3169731,Sushi,besucht,sehr_gut,teuer,fav,,2026-07-29,,ChIJU7-KvONQqEcRkNDBMGGDTs4,,"lunch, dinner",,2026-07-29
r0009,://about blank,52.502559,13.4663169,Club/Livemusik,besucht,gut,normal,fav,,2026-07-29,,ChIJfyco7vlOqEcRrrbiNuS8o5s,,"drinks, music",,2026-07-29
r0010,A Never Ever Ending Love Story,52.5063461,13.3198725,Restaurant,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJNTpKHONQqEcRbsghqnfronQ,,"fruehstueck, brunch",,2026-07-29
r0011,A-Trane,52.50737,13.3201,Club/Livemusik,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJlUFd5eJQqEcRrMn_ekJYt60,,"drinks, music",,2026-07-29
r0012,acht&dreissig,52.5254913,13.391468,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJb8Yo1OdRqEcR1tNPIs-ssTE,,dinner,,2026-07-29
r0013,Aiko,52.5305299,13.400302,Sushi,besucht,mittel,normal,fav,,2026-07-29,,ChIJH7xk--RRqEcRV80_iDg9rlQ,,"lunch, dinner",,2026-07-29
r0014,Al Hamra,52.5417705,13.4209741,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJ9b0P0_9NqEcRz7dZz2OoYSU,,"lunch, dinner",,2026-07-29
r0015,Albatross Bakery,52.491416,13.416808,Bäcker,besucht,mittel,normal,fav,,2026-07-29,,ChIJg2JtgUxOqEcRd1FPPyI0XCI,,"fruehstueck, kaffee",,2026-07-29
r0016,Aleppo Supper Club,52.5089124,13.4609188,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJqWC7RTBXqEcRwjzRgofsEOQ,,"lunch, dinner",,2026-07-29
r0017,"Alt Wien, Gasthaus",52.531586,13.432402,Restaurant,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJm7-IVw5OqEcRxFRycnVAoUE,,"lunch, dinner",,2026-07-29
r0018,Altes Europa,52.5267028,13.4010694,Kneipe,besucht,gut,normal,fav,,2026-07-29,,ChIJ64A6sOZRqEcRJQ0_wJJhegM,,drinks,,2026-07-29
r0019,Amano,52.528145,13.402684,Cocktail-Bar,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJ4ydW9ONRqEcRZwmVCvnWq4k,,drinks,,2026-07-29
r0020,Amrit,52.510657,13.377066,Restaurant,besucht,gut,normal,fav,filiale,2026-07-29,,ChIJr7mtJslRqEcRWYWVINsSbkg,indisch,"lunch, dinner",,2026-07-29
r0021,Amrit,52.5259176,13.3898183,Restaurant,besucht,gut,normal,fav,filiale,2026-07-29,,ChIJV9ZDBOlRqEcRmS39SeXlPVo,indisch,"lunch, dinner",,2026-07-29
r0022,An einem Sonntag im August,52.540131,13.411581,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJt5AxG_9RqEcR4P2Ricm8tv8,,"fruehstueck, brunch",,2026-07-29
r0023,Angry Chicken,52.5005936,13.4229877,Imbiss,besucht,mittel,normal,fav,,2026-07-29,,ChIJpev7ZjVOqEcR-Dw4UZKT_-g,koreanisch,"lunch, dinner",,2026-07-29
r0025,Ankerklause,52.495804,13.420556,Kneipe,besucht,gut,normal,fav,,2026-07-29,,ChIJHwunA8tPqEcRzdgaAEx7K4M,,drinks,,2026-07-29
r0026,Anna Hirsch Bar,52.52767,13.38863,Kneipe,besucht,mittel,normal,fav,,2026-07-29,,ChIJsU0lR-lRqEcRGZBvCtO51RU,,drinks,,2026-07-29
r0027,APARTMENT Bar,52.5278532,13.370368,Cocktail-Bar,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJifkdY5ZRqEcRqLs45AsR3GA,,drinks,,2026-07-29
r0028,ASMAN,52.531489,13.396645,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJXfXRYOVRqEcR530Cu7eIzrg,,"lunch, dinner",,2026-07-29
r0029,Atame,52.52355,13.406848,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJ1zUeNOBRqEcR-WWSWMWSbDo,,"lunch, dinner",,2026-07-29
r0030,August Fengler,52.541706,13.415018,Kneipe,besucht,gut,normal,fav,,2026-07-29,,ChIJQy5div9RqEcRX795_h1KF0E,,drinks,,2026-07-29
r0031,Badeschiff,52.4978612,13.4537728,Biergarten,besucht,mittel,normal,fav,,2026-07-29,,ChIJ2Sf5s1VOqEcRyNL6T02APR0,,"kaffee, dinner, drinks",,2026-07-29
r0032,Bagdad,52.500705,13.442213,Imbiss,besucht,mittel,normal,fav,,2026-07-29,,ChIJLfJkCE5OqEcRZvzVJ87d3g0,,"lunch, dinner",,2026-07-29
r0033,Bake and Take,52.5174245,13.4609231,Bäcker,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJWWZdqBBPqEcRgWuNbrcfLyo,,fruehstueck,,2026-07-29
r0034,Bakery at Fotografiska Berlin,52.5257798,13.3887826,Bäcker,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJnyRRW-lRqEcRRze6KNlaH74,,"fruehstueck, kaffee",,2026-07-29
r0035,Bangkok Bites,52.534845,13.4188471,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJL9-SxHlPqEcRZH4TfMH0Tl0,thai,"lunch, dinner",,2026-07-29
r0036,Banh Mi Stable,52.5269387,13.4083159,Imbiss,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJOWUmGuJRqEcRuSq-0x-weu8,vietnamesisch,"lunch, dinner",,2026-07-29
r0037,Bar 3,52.526917,13.414779,Kneipe,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJ26ghOBxOqEcRSHEcHSdMJk4,,drinks,,2026-07-29
r0038,Bar Amélie,52.5258336,13.3907857,Cocktail-Bar,besucht,sehr_gut,teuer,fav,,2026-07-29,,ChIJ_RtQdhJRqEcRgjIEb88qptQ,,drinks,,2026-07-29
r0039,BAR internazionale,52.5261295,13.4109944,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJzeUPtjlPqEcRoQSuvzi7_I4,,"lunch, dinner",,2026-07-29
r0040,Bar Milano,52.5312939,13.4001221,Cocktail-Bar,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJk1L-H-VRqEcRRtQXQ63KtJc,,drinks,,2026-07-29
r0041,Bar Raval,52.49816,13.436448,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJ92nYtJgjZUERTveD7KF32Zc,,"lunch, dinner",,2026-07-29
r0042,Bar Zentral,52.505083,13.329117,Cocktail-Bar,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJY7z_KPxQqEcRepX97MJjsys,,drinks,,2026-07-29
r0043,BarbieBar,52.489517,13.386789,Cocktail-Bar,besucht,mittel,normal,fav,,2026-07-29,,ChIJr8tDNiZQqEcR3LiBuXluQ2E,,drinks,,2026-07-29
r0044,Barcomi’s Café & Kaffeerösterei,52.4890338,13.3934183,Café,besucht,gut,normal,fav,,2026-07-29,,,,"fruehstueck, kaffee, brunch",,2026-07-29
r0045,Becketts Kopf,52.545542,13.416931,Cocktail-Bar,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJS6oC6wBSqEcRw047FDcEIBE,,drinks,,2026-07-29
r0046,Beets & Roots,52.5266807,13.398543,Restaurant,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJ710vj-ZRqEcRN7hykiDjS5A,,"lunch, dinner",,2026-07-29
r0047,Bekarei - The Good Baking Company,52.5443172,13.4226478,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,,,"lunch, dinner",,2026-07-29
r0048,BEN RAHIM,52.5250862,13.4020091,Café,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJ9wBfMOFRqEcRLuSC8Tu_yBM,,kaffee,,2026-07-29
r0049,Benedict,52.4969116,13.323843,Restaurant,besucht,unbewertet,ueberteuert,fav,filiale,2026-07-29,,ChIJjVDYvvBQqEcRe3lWJ0LSy3k,,"fruehstueck, brunch",,2026-07-29
r0050,BENEDICT,52.5416676,13.4215108,Restaurant,besucht,unbewertet,ueberteuert,fav,filiale,2026-07-29,,ChIJ5UL4SOFNqEcRtJ_vx8fCkoQ,,"fruehstueck, brunch",,2026-07-29
r0051,Berghain | Panorama Bar | Säule,52.5110714,13.44293,Club/Livemusik,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJn17Gi0NOqEcRfHX8oRvU9ms,,"drinks, music",,2026-07-29
r0052,Berlinburger International,52.4864764,13.4308417,Burger,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJzc10kLBPqEcRs9Sl55tktNs,,"lunch, dinner",,2026-07-29
r0053,Berliner Kaffeerösterei Uhlandstraße,52.5014854,13.3252931,Café,besucht,gut,normal,fav,,2026-07-29,,ChIJWzG7uftQqEcRS-9KDnvVeGg,,kaffee,,2026-07-29
